DATAFLOW,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2017,28.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2018,28.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FI,2019,28.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2010,25.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2011,25.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2012,26.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2013,26.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2014,26.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2015,26.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2016,26.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2017,26.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2018,26.1,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,FR,2019,26.2,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2010,17.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2011,18.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2012,18.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2013,18.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2014,18.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2015,18.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2016,17.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2017,17.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2018,16.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HR,2019,16.2,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2010,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2011,23.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2012,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2013,21.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2014,20.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2015,20.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2016,20.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2017,20.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2018,20.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,HU,2019,20.7,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2010,22.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2011,22.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2012,22.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2013,23.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2014,22.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2015,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2016,23.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2017,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2018,25.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IE,2019,25.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2010,25.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2011,25.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2012,24.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2013,24.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2014,24.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2015,24.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2016,23.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2017,22.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2018,23.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IS,2019,23.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2010,22.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2011,22.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2012,23.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2013,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2014,23.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2015,23.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2016,22.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2017,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2018,22.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,IT,2019,22.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2010,16.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2011,16.5,
