DATAFLOW,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2015,11.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2016,12.0,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2017,11.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2018,13.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LU,2019,13.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2010,15.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2011,18.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2012,17.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2013,17.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2014,16.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2015,15.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2016,13.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2017,13.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2018,13.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,LV,2019,12.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2010,8.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2011,9.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2012,9.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2013,8.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2014,7.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2015,6.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2016,6.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2017,5.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2018,6.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,MT,2019,6.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2010,26.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2011,27.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2012,27.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2013,27.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2014,26.9,p
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2015,26.6,p
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2016,21.4,b
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2017,20.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2018,19.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2019,20.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NL,2020,18.9,p
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2010,17.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2011,19.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2012,18.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2013,18.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2014,16.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2015,17.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2016,16.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2017,16.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2018,16.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,NO,2019,17.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2010,18.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2011,18.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2012,19.3,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2013,19.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2014,19.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2015,18.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2016,17.0,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2017,15.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2018,15.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PL,2019,15.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2010,11.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2011,13.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2012,14.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2013,14.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2014,14.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2015,14.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2016,13.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2017,13.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2018,13.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,PT,2019,12.4,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2010,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2011,13.1,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2012,22.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2013,21.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2014,20.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2015,19.7,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2016,18.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2017,17.6,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2018,15.2,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2019,13.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,RO,2020,12.9,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,SE,2010,18.5,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,SE,2011,18.8,
ESTAT:ILC_MDED01(1.0),A,TOTAL,A_MD60,PC,SE,2012,19.1,
