DATAFLOW,freq,tenure,indic_il,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2013,9303,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2014,8879,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2015,8683,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2016,8673,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2017,8800,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2018,9034,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,EL,2019,9382,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2010,16922,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2011,16280,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2012,16119,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2013,15635,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2014,15405,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2015,15408,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2016,15842,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2017,16390,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2018,16937,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,ES,2019,17287,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2010,23528,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2011,24150,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2012,25148,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2013,25901,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2014,26130,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2015,26240,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2016,26379,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2017,26689,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2018,27389,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FI,2019,28061,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2010,23421,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2011,23882,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2012,24499,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2013,24713,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2014,24613,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2015,24982,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2016,25278,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2017,25286,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2018,25379,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,FR,2019,26210,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2010,6622,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2011,6217,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2012,5988,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2013,5817,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2014,5799,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2015,6070,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2016,6337,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2017,6851,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2018,7371,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HR,2019,8089,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2010,4631,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2011,5055,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2012,5247,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2013,5027,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2014,5123,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2015,5141,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2016,5396,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2017,5589,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2018,6123,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,HU,2019,6568,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2010,23965,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2011,22886,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2012,22781,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2013,23392,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2014,23573,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2015,24817,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2016,25586,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2017,27006,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2018,28630,
